"targetId","targetSymbol","targetName","biotype","maxLiteratureEvidencePhenotype","maxLiteratureEvidenceCount","chronic obstructive pulmonary disease","glaucoma","hypertension","rheumatoid arthritis","obesity","age-related macular degeneration","heart disease","osteoporosis","chronic kidney disease","atherosclerosis","longevity","lipid measurement","lean body mass","grip strength measurement","cognitive decline measurement","delirium","heel bone mineral density","adult onset asthma","chronic pain","alzheimers disease","type 2 diabetes","osteoarthritis","parkinsons disease","metabolic syndrome","adiponectin measurement","gait measurement","healthspan","stroke","idiopathic pulmonary fibrosis","frailty measurement","lewy body dementia","cartilage thickness measurement","neurodegeneration","HGNC","PDB","GenAge.ID","GenAge.URL","CellAge.senescence_effect","n_hallmarks","goHallmarks","goHallmarkTerms","AB","OC","PR","SM","overallMultimorbidityCount"
"ENSG00000110921","MVK","mevalonate kinase","protein coding","heart disease",8,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,0.68,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7530","2R3V",NA,NA,"Induces",1,"Inflammation","inflammatory response","No_Evidence","No_Evidence","Discovery_Opportunity","Predicted_Tractable",3
"ENSG00000112699","GMDS","GDP-mannose 4,6-dehydratase","protein coding","glaucoma",3,NA,0.72,NA,NA,0,NA,0.14,NA,NA,0,NA,NA,0.72,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,"4369","1T2A, 5IN4, 5IN5, 6GPJ, 6GPK, 6GPL, 6Q94",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000138640","FAM13A","family with sequence similarity 13 member A","protein coding","chronic obstructive pulmonary disease",72,0.73,0.26,0.39,NA,NA,0,0.01,NA,NA,NA,NA,0.34,NA,NA,NA,NA,0.31,NA,NA,NA,0.3,NA,NA,NA,0.18,NA,NA,NA,0.5,NA,NA,NA,NA,"19367",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",8
"ENSG00000178878","APOLD1","apolipoprotein L domain containing 1","protein coding","hypertension",1,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,0.44,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25268",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000182481","KPNA2","karyopherin subunit alpha 2","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0.4,0.05,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6395","1EFX, 1QGK, 1QGR, 3FEX, 3FEY, 3WPT, 4E4V, 4WV6, 5H43, 7N8J",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000187116","LILRA5","leukocyte immunoglobulin like receptor A5","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16309","2D3V",NA,NA,NA,2,"Inflammation, Immune response","inflammatory response, immune response","Predicted_Tractable_(H)","No_Evidence","No_Evidence","No_Evidence",2
"ENSG00000124181","PLCG1","phospholipase C gamma 1","protein coding","type 2 diabetes",2,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,0.49,NA,NA,NA,NA,0.36,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9065","1HSQ, 2HSP, 4EY0, 4FBN, 7NXE",NA,NA,NA,2,"Immune response, Inflammation","immune response, inflammatory response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000132693","CRP","C-reactive protein","protein coding","heart disease",5160,0.38,NA,NA,NA,0.02,0,0.01,0.01,NA,0.01,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2367","1B09, 1CRV, 1GNH, 1LJ7, 3L2Y, 3PVN, 3PVO",NA,NA,NA,2,"Inflammation, Immune response","inflammatory response, immune response","Predicted_Tractable_(M/L)","No_Evidence","No_Evidence","Discovery_Opportunity",2
"ENSG00000141252","VPS53","VPS53 subunit of GARP complex","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25608",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000091831","ESR1","estrogen receptor 1","protein coding","osteoporosis",588,NA,NA,0.04,0,NA,NA,0.36,0.44,0.01,0.01,NA,NA,0.75,NA,NA,NA,0.82,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3467","1A52, 1AKF, 1ERE, 1ERR, 1G50, 1GWQ, 1GWR, 1HCP, 1HCQ, 1L2I, 1PCG, 1QKT, 1QKU, 1R5K, 1SJ0, 1UOM, 1X7E, 1X7R, 1XP1, 1XP6, 1XP9, 1XPC, 1XQC, 1YIM, 1YIN, 1ZKY, 2AYR, 2B1V, 2B1Z, 2B23, 2BJ4, 2FAI, 2G44, 2G5O, 2I0J, 2IOG, 2IOK, 2JF9, 2JFA, 2LLO, 2LLQ, 2OCF, 2OUZ, 2P15, 2POG, 2Q6J, 2Q70, 2QA6, 2QA8, 2QAB, 2QE4, 2QGT, 2QGW, 2QH6, 2QR9, 2QSE, 2QXM, 2QXS, 2QZO, 2R6W, 2R6Y, 2YAT, 2YJA, 3CBM, 3CBO, 3CBP, 3DT3, 3ERD, 3ERT, 3HLV, 3HM1, 3L03, 3OS8, 3OS9, 3OSA, 3Q95, 3UU7, 3UUA, 3UUC, 3UUD, 4AA6, 4DMA, 4IU7, 4IUI, 4IV2, 4IV4, 4IVW, 4IVY, 4IW6, 4IW8, 4IWC, 4IWF, 4JC3, 4JDD, 4MG5, 4MG6, 4MG7, 4MG8, 4MG9, 4MGA, 4MGB, 4MGC, 4MGD, 4O6F, 4PP6, 4PPP, 4PPS, 4PXM, 4Q13, 4Q50, 4TUZ, 4TV1, 4XI3, 4ZN7, 4ZN9, 4ZNH, 4ZNS, 4ZNT, 4ZNU, 4ZNV, 4ZNW, 5AAU, 5AAV, 5ACC, 5AK2, 5DI7, 5DID, 5DIE, 5DIG, 5DK9, 5DKB, 5DKE, 5DKG, 5DKS, 5DL4, 5DLR, 5DMC, 5DMF, 5DP0, 5DRJ, 5DRM, 5DTV, 5DU5, 5DUE, 5DUG, 5DUH, 5DVS, 5DVV, 5DWE, 5DWG, 5DWI, 5DWJ, 5DX3, 5DXB, 5DXE, 5DXG, 5DXK, 5DXM, 5DXP, 5DXQ, 5DXR, 5DY8, 5DYB, 5DYD, 5DZ0, 5DZ1, 5DZ3, 5DZH, 5DZI, 5E0W, 5E0X, 5E14, 5E15, 5E19, 5E1C, 5EGV, 5EHJ, 5EI1, 5EIT, 5FQP, 5FQR, 5FQS, 5FQT, 5FQV, 5GS4, 5GTR, 5HYR, 5JMM, 5KCC, 5KCD, 5KCE, 5KCF, 5KCT, 5KCU, 5KCW, 5KD9, 5KR9, 5KRA, 5KRC, 5KRF, 5KRH, 5KRI, 5KRJ, 5KRK, 5KRL, 5KRM, 5KRO, 5N10, 5T0X, 5T1Z, 5T92, 5T97, 5TLD, 5TLF, 5TLG, 5TLL, 5TLM, 5TLO, 5TLP, 5TLT, 5TLU, 5TLV, 5TLX, 5TLY, 5TM1, 5TM2, 5TM3, 5TM4, 5TM5, 5TM6, 5TM7, 5TM8, 5TM9, 5TML, 5TMM, 5TMO, 5TMQ, 5TMR, 5TMS, 5TMT, 5TMU, 5TMV, 5TMW, 5TMZ, 5TN1, 5TN3, 5TN4, 5TN5, 5TN6, 5TN7, 5TN8, 5TN9, 5TNB, 5U2B, 5U2D, 5UFW, 5UFX, 5W9C, 5W9D, 5WGD, 5WGQ, 6B0F, 6C42, 6CBZ, 6CHW, 6CHZ, 6CZN, 6D0F, 6DF6, 6DFN, 6HHP, 6HKB, 6HKF, 6HMU, 6IAR, 6OWC, 6PET, 6PFM, 6PIT, 6PSJ, 6SBO, 6SQ0, 6SUO, 6TJM, 6TL3, 6V87, 6V8T, 6VGH, 6VIG, 6VJ1, 6VJD, 6VMU, 6VPF, 6VPK, 6VVP, 6WOK, 6ZOQ, 6ZOR, 6ZOS, 7JHD, 7KBS, 7KCA, 7KCD, 7MSA, 7NFW",216,"https://genomics.senescence.info/genes/entry.php?hgnc=ESR1",NA,2,"Inflammation, Epigenetic alteration","inflammatory response, chromatin remodeling","Predicted_Tractable_(H)","No_Evidence","Clinical_Precedence","Clinical_Precedence",4
"ENSG00000117971","CHRNB4","cholinergic receptor nicotinic beta 4 subunit","protein coding","chronic obstructive pulmonary disease",11,0.27,NA,NA,NA,0,NA,0.57,NA,NA,0.42,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,"1964","2ASG, 6PV7, 6PV8",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","Clinical_Precedence","Discovery_Opportunity","Clinical_Precedence",5
"ENSG00000127663","KDM4B","lysine demethylase 4B","protein coding","type 2 diabetes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.22,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,"29136","4LXL, 4UC4",NA,NA,NA,1,"Epigenetic alteration","histone modification, chromatin remodeling","No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000137764","MAP2K5","mitogen-activated protein kinase kinase 5","protein coding","obesity",10,0,NA,0,NA,0.17,NA,0.01,NA,0,0,NA,0.07,0.59,NA,NA,NA,NA,0.04,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6845","2NPT, 2O2V, 4IC7",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Literature_Precedence","Discovery_Opportunity",4
"ENSG00000163581","SLC2A2","solute carrier family 2 member 2","protein coding","type 2 diabetes",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,0.7,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11006",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000182511","FES","FES proto-oncogene, tyrosine kinase","protein coding","heart disease",3,NA,NA,0.71,NA,NA,NA,0.72,NA,NA,0.46,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,"3657","1WQU, 2DCR, 3BKB, 3CBL, 3CD3, 4DYL, 4E93, 6JMF",NA,NA,NA,2,"Immune response, Nutrient signalling","immune response, response to nutrient levels","Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",5
"ENSG00000004948","CALCR","calcitonin receptor","protein coding","osteoporosis",24,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,0.61,0.71,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1440","5II0, 5UZ7, 6NIY, 6PFO, 6PGQ",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","Clinical_Precedence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000101019","UQCC1","ubiquinol-cytochrome c reductase complex assembly factor 1","protein coding","osteoarthritis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.4,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,"15891",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000112320","SOBP","sine oculis binding protein homolog","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29256",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",1
"ENSG00000113161","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","protein coding","heart disease",418,NA,NA,0,0,NA,NA,0.17,0.01,0,NA,NA,0.69,NA,0.05,NA,NA,NA,NA,NA,NA,0.11,NA,NA,0.23,NA,NA,NA,0.17,NA,NA,NA,NA,NA,"5006","1DQ8, 1DQ9, 1DQA, 1HW8, 1HW9, 1HWI, 1HWJ, 1HWK, 1HWL, 2Q1L, 2Q6B, 2Q6C, 2R4F, 3BGL, 3CCT, 3CCW, 3CCZ, 3CD0, 3CD5, 3CD7, 3CDA, 3CDB",NA,NA,NA,1,"Proteostasis","protein catabolic process","Predicted_Tractable_(M/L)","No_Evidence","Literature_Precedence","Clinical_Precedence",6
"ENSG00000175161","CADM2","cell adhesion molecule 2","protein coding","obesity",11,NA,0.81,NA,NA,0.46,NA,0,NA,0,NA,NA,0.55,0.69,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29849",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000127928","GNGT1","G protein subunit gamma transducin 1","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.62,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4411","7L0P, 7L0Q, 7L0R, 7L0S",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000143641","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2","protein coding","metabolic syndrome",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4124","2FFU, 2FFV, 4D0T, 4D0Z, 4D11, 5AJN, 5AJO, 5AJP, 5FV9, 5NDF, 6E7I, 6EGS, 6NQT",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",2
"ENSG00000153162","BMP6","bone morphogenetic protein 6","protein coding","heart disease",7,NA,NA,0,NA,0.01,NA,0.01,NA,NA,0,NA,NA,0.79,0.57,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1073","2QCW, 2R52, 2R53, 6OMO",NA,NA,NA,2,"Inflammation, Immune response","inflammatory response, immune response","Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",3
"ENSG00000043143","JADE2","jade family PHD finger 2","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.46,NA,NA,NA,NA,NA,NA,0.7,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22984",NA,NA,NA,NA,1,"Epigenetic alteration","histone modification","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15","protein coding",NA,NA,NA,NA,0.12,NA,NA,NA,0.42,NA,NA,NA,NA,NA,0.29,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,"21030","3BYI",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",5
"ENSG00000091844","RGS17","regulator of G protein signaling 17","protein coding","type 2 diabetes",1,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14088","1ZV4, 6AM3",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000100968","NFATC4","nuclear factor of activated T cells 4","protein coding","type 2 diabetes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,0.19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7778","2YRP",NA,NA,NA,1,"Inflammation","inflammatory response","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000261701","HPR","haptoglobin-related protein","protein coding","heart disease",2,NA,NA,NA,NA,NA,0,0.34,NA,NA,0,0.28,0.69,0.07,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,0,NA,NA,NA,NA,"5156",NA,NA,NA,NA,1,"Inflammation","inflammatory response","Predicted_Tractable_(H)","No_Evidence","No_Evidence","No_Evidence",6
"ENSG00000021645","NRXN3","neurexin 3","protein coding","obesity",17,NA,NA,NA,NA,0.57,NA,0.03,NA,NA,0.02,NA,0.62,0.77,0.08,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,"8010",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",6
"ENSG00000036565","SLC18A1","solute carrier family 18 member A1","protein coding",NA,NA,NA,NA,NA,0.03,NA,NA,0.6,NA,NA,0.04,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,0.46,NA,NA,NA,0.06,NA,NA,NA,NA,NA,"10934",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","No_Evidence","Predicted_Tractable",4
"ENSG00000087157","PGS1","phosphatidylglycerophosphate synthase 1","protein coding",NA,NA,NA,NA,NA,NA,NA,0,0.01,NA,0,NA,NA,0.68,NA,NA,NA,NA,0.54,NA,NA,NA,NA,0,0.24,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30029",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000130208","APOC1","apolipoprotein C1","protein coding","alzheimers disease",58,NA,NA,NA,NA,NA,0.34,0.5,NA,NA,0.23,0.46,0.59,0.07,NA,NA,0.21,NA,0.09,NA,0.56,0.37,0.04,0.14,0.34,NA,NA,0.04,0.32,NA,NA,0.16,NA,NA,"607","1ALE, 1ALF, 1IOJ, 1OPP, 6DVU, 6DXR, 6DZ6, 6NF3",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",13
"ENSG00000164626","KCNK5","potassium two pore domain channel subfamily K member 5","protein coding","heart disease",4,NA,NA,0.46,NA,NA,NA,0.79,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6280",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",3
"ENSG00000204305","AGER","advanced glycosylation end-product specific receptor","protein coding","heart disease",136,0.49,NA,0.03,0.04,0.02,0.09,0.06,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"320","1PWI, 2BJP, 2E5E, 2ENS, 2L7U, 2LE9, 2LMB, 2M1K, 2MJW, 2MOV, 3CJJ, 3O3U, 4LP4, 4LP5, 4OF5, 4OFV, 4OI7, 4OI8, 4P2Y, 4XYN, 4YBH, 5D7F, 6VXG",NA,NA,NA,2,"Inflammation, Immune response","inflammatory response, immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Clinical_Precedence",5
"ENSG00000112033","PPARD","peroxisome proliferator activated receptor delta","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9235","1GWX, 1Y0S, 2AWH, 2B50, 2BAW, 2ENV, 2GWX, 2J14, 2Q5G, 2XYJ, 2XYW, 2XYX, 2ZNP, 2ZNQ, 3D5F, 3DY6, 3ET2, 3GWX, 3GZ9, 3OZ0, 3PEQ, 3SP9, 3TKM, 5U3Q, 5U3R, 5U3S, 5U3T, 5U3U, 5U3V, 5U3W, 5U3X, 5U3Y, 5U3Z, 5U40, 5U41, 5U42, 5U43, 5U44, 5U45, 5U46, 5XMX, 5Y7X, 5ZXI, 6A6P",NA,NA,NA,2,"Nutrient signalling, Inflammation","response to nutrient levels, inflammatory response","No_Evidence","No_Evidence","Discovery_Opportunity","Clinical_Precedence",3
"ENSG00000152214","RIT2","Ras like without CAAX 2","protein coding","parkinsons disease",13,0.01,0,0,NA,0.02,NA,0,NA,NA,NA,NA,0.59,0.57,NA,NA,NA,NA,NA,NA,NA,0.27,0.02,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10017",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000173064","HECTD4","HECT domain E3 ubiquitin protein ligase 4","protein coding","type 2 diabetes",6,NA,NA,0.13,0.41,NA,NA,0.49,NA,NA,0.39,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
